Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Real Estate Deal Structuring: Introduction to the Waterfall Framework,"Enlisting partners is a good way to get started in real estate investment without a lot of capital. But how do you track and share returns on a joint investment? For deals with multiple investors, the waterfall framework is an industry-standard way of tracking how revenue is split across the lifetime of a project. It considers variables like sweat equity, making sure all investors are compensated fairly for the money and the work they contribute to the deal. In this course, professional investor Symone He shows how to set up and use a waterfall framework to analyze the returns on an investment. He gives examples from multiple real estate investing scenarios, including a restaurant startup, a rental property, and a parking garage. He explains the pros and cons of investing with friends, family, or business partners, and provides examples that show how the waterfall calculations break down in an analysis tool like Excel. Plus, learn how to account for losses, rental income, and the profits from fix and flips using this flexible, multitiered framework.",Course,2019-02-01 15:44 UTC,N/A,false,N/A,
Excel: Lookup Functions in Depth,"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2021-06-24 04:05 UTC,N/A,false,N/A,
Disrupting Yourself,"""Disruptors"" secure a foothold by coming up with ideas and innovations that eventually upend their entire community or industry. Disrupting yourself is the secret to breaking into a new field, never settling for less, and achieving more. In this course, author, <em>Harvard Business Review</em> blogger, and consultant Whitney Johnson walks you through her seven-step model to disrupt yourself and move to the next level in your career. Discover how to take the right risks, play to your strengths, embrace constraints, and more in this short course.",Course,2020-04-02 22:22 UTC,N/A,false,N/A,
Jeff Weiner on Establishing a Culture and a Plan for Scaling,"What does it take to scale a multibillion-dollar business and foster a healthy company culture at the same time? Listen in as the former CEO of LinkedIn, Jeff Weiner, shares insights from his experiences. Jeff describes what it was like joining LinkedIn, his initial observations, and how he dedicated his first hundred days to really getting to know the people and the product. He emphasizes the value of listening and how this mindful approach helped him shape and define a vision for the business that embraced the collective personality of the organization and its aspirations. Then, he relates the excitement that was felt company-wide as the vision quickly became more than a dream but part of an operational reality. Thoughts on leadership, coaching, hiring, and retaining top talent are also expressed.",Course,2018-07-04 23:22 UTC,N/A,false,N/A,
Establishing Credibility as a Speaker,"Audiences will assess the credibility of presenters before they even begin speaking. In this course, Laura Bergells shares techniques that help speakers develop personal credibility. She shows you how to earn the attention and interest of your audience right away by using key nonverbal and emotional skills. Find out how to make eye contact, read a room, and deal with difficult audience emotions. Learn how to state your credentials—without sounding like you're bragging. Plus, discover how to apply your credibility skills to both small and large audiences.",Course,2019-01-29 19:32 UTC,N/A,false,N/A,
Guy Kawasaki on Entrepreneurship,"In this interview-style course, author, entrepreneur, evangelist, and venture capitalist Guy Kawasaki discusses a variety of topics centered on entrepreneurship. He shows how to focus your pitch and develop prototypes, predict new markets, and capitalize on social media. Topics Guy discusses include:<br><br>
<ul>
<li>The critical nature of prototyping</li>
<li>The qualities of an MVVVP (minimum viable, valuable, validating product) </li>
<li>The irrelevance of business plans</li>
<li>The qualities of state-of-the-art pitches</li>
<li>The replacement of marketing with social media</li>
</ul>",Course,2019-01-18 17:59 UTC,N/A,false,N/A,
Learning ArcGIS Python Scripting,"Have you ever needed to find all the broken links in a set of map documents? Or convert units before loading map data? Python is the gateway for automating common GIS tasks like these. Python scripts can be used to manipulate maps, execute commands, and even read and write data from files. Learn how to produce faster, deeper insights into your GIS data by adding Python scripting to ArcGIS Desktop. This course starts with the basics, including strings, variables, and conditional statements. Jennifer Harrison—founder of TeachMeGIS—gets you comfortable writing scripts in IDLE, the integrated development environment for Python, and ramps up to writing output to the screen, passing command-line arguments into scripts, and reading from and writing to a log file. She also introduces the ArcGIS arcpy module for creating map documents and shows how to integrate customized scripting tools into ArcMap.",Course,2019-02-15 15:48 UTC,N/A,false,N/A,
Developing Executive Presence,"Learn to project self-confidence, clarity, and credibility even under conditions of stress, pressure, and uncertainty. In this course, John Ullmen, PhD, a professor from the UCLA Anderson School of Management, shares key research insights and step-by-step methods he uses to coach leaders around the world to develop executive presence. He outlines the four key factors that drive executive presence, and the specific actions that make them work for you.  He also explains the difference between internal and external presence, and how to enhance both to increase your self-assurance and self-possession. He addresses how to do all of this without being fake or feeling inauthentic, and how to be ""fully present, persistently.""",Course,2019-03-20 20:35 UTC,N/A,false,N/A,
"Icebreakers for Teams, Meetings, and Groups","An icebreaker is an activity, game, or experience designed to create conversation and promote connection among participants. Join instructors Daisy Lovelace and Carolyn Goerner for an exploration of how to successfully use icebreaker activities to help strengthen teams, stimulate creative thinking, and help teams move forward after conflict. Discover the psychology behind how and why icebreakers work. Find out how to choose the right icebreaker for different group types and sizes. Examine different icebreakers designed to get an event started, connect new team members, and bolster connections among existing team members. Plus, learn how to facilitate icebreaker exercises to get the most benefit.",Course,2021-10-06 19:52 UTC,N/A,false,N/A,
Carter Beauford: Under the Table and Drumming,"Learn drumming from a world-class musician. Carter Beauford, world-famous drummer for the Dave Matthews Band, performs along with the rhythm tracks from six of the band's best songs, including ""Ants Marching"" and ""Satellite."" Carter covers such topics as left-hand lead and open-hand approaches, fills, double-bass drums, drum set and cymbal setup, time feel, background and influences, and more. He also discusses the early days of the Dave Matthews Band. These lessons are valuable for drummers of all levels, as well as any musician who plays or programs drums.<br><br>

This course was created by Alfred Music. We are pleased to offer this training in our library.",Course,2021-01-20 01:56 UTC,N/A,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, The Miracle Morning. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.

<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/How_to_Be_Awesome_at_Your_Job_LOGO.jpg"" height=""20%"" width=""20%"">",Course,2020-09-02 21:29 UTC,N/A,false,N/A,
How to Give Negative Feedback to Senior Colleagues,"Ever been in a situation where you don't quite agree with something your boss said? Maybe you feel your manager could have dealt with a situation slightly differently? There will come a time in your career when you need to provide feedback to a boss or senior colleague. Good bosses will understand your feedback is coming from a good place, but starting the conversation can be tricky. This course—designed by Aimee Bateman, career expert and founder of Careercake—explains how you can develop the confidence and communication skills necessary to deliver productive feedback up the chain and have effective conversations with managers and senior colleagues.<br><br>

This course was created by <a href=”https://www.careercake.com/” target=”_blank”>Careercake</a>, the careers content platform. We are pleased to host this training in our library.",Course,2020-11-24 14:32 UTC,N/A,false,N/A,
Hiring Your Team,"In this course, veteran talent director and author Cindy Mayer shows how to prepare for and conduct employee interviews in person, over the phone, and with video-conferencing tools. Understand what your ideal candidate would bring to the table and use that information to structure a job description and effectively scan resumes. Next, build an interviewing plan, and develop questions that elicit thoughtful, helpful responses. Finally, learn how to conduct an interview, probe for more depth with follow-up questions, navigate pitfalls, and take next steps after the interview. Cindy includes a sample interview that illustrates these techniques in action.",Course,2018-12-17 22:57 UTC,N/A,false,N/A,
Learning to Be Approachable,"No one wants to go through life misunderstood. If you are worried you have a reputation for being unapproachable, there are ways to change that perception without changing your personality. In this course, personal branding expert Dorie Clark helps you first determine whether you are sending signals that might be off-putting to others—whether through body language or some other kind of communication. She outlines strategies to make yourself more approachable both in person and online, by helping others feel included. With the right mindset, and the right messaging, you can help people see the real you.",Course,2019-02-14 18:50 UTC,N/A,false,N/A,
Communicating with Empathy,"When you seek to understand the perspective of another person, you are practicing empathy. When empathetic communication is encouraged at work, individuals feel more comfortable speaking openly, they feel like they matter, and they feel safe. That's why empathy at work is crucial to company-wide success. In this course, communication expert Sharon Steed explains the principles of empathetic communication and shares specific strategies to help improve your approach to difficult conversations. Get ready to learn how to converse empathetically to improve your one-on-one conversations and team interactions.",Course,2021-09-29 18:08 UTC,N/A,false,N/A,
Fred Kofman on Managing Conflict,"Do you dread difficult conversations? Avoiding conflict doesn't save relationships. Managing conflict makes them stronger. Learn the tools that turn conflicts into positive outcomes in this workshop-style course with philosopher of leadership and LinkedIn Influencer Fred Kofman. He takes a real-life story of conflict and shows how careful listening, negotiation, and commitment can turn opponents into allies and create a renewed shared purpose.<br><br>

This course is the first in a series with LinkedIn Influencers, a select group of highly influential entrepreneurs, creative thinkers, global leaders, and policy makers chosen to share their thoughts with LinkedIn members. Keep the conversation going. Share these ideas with your own friends and followers.",Course,2019-04-09 22:41 UTC,N/A,false,N/A,
Body Language for Authentic Leadership,"Body language is an essential part of our communication. But how many of the body language tips we’ve learned are outdated? The politics of body language have shifted. In this course, instructor Erica Dhawan explains how people can succeed by leveraging their authenticity and natural strengths, in both traditional and digital settings. Erica discusses how to understand your body language style and be self-aware of the body language you use. She goes over the importance of understanding the specific culture and expectations of your work environment, then covers how to master your body language to present yourself authentically as an executive leader. Erica describes how you can show executive presence while leading online meetings and video calls. She concludes with how to spot the body language cues of inclusion and exclusion and follow up by using positive body language cues to advocate for unheard voices.",Course,2021-08-26 22:26 UTC,N/A,false,N/A,
Writing to Be Heard on LinkedIn,"LinkedIn is the one of the world's largest long-form publishing platforms. Writing on LinkedIn allows you to develop a following, demonstrate expertise in your field, and connect with new opportunities—all at a scale never before possible. But how do you make sure your voice is heard? Daniel Roth, executive editor at LinkedIn, introduces the best practices for writing great posts and offers tips for amplifying your reach on LinkedIn.",Course,2018-07-11 12:23 UTC,N/A,false,N/A,
Employer Branding on LinkedIn,"Is your company active on LinkedIn? Are your employees? Does the content you share accurately reflect your organization's brand? By taking the time to optimize your presence on LinkedIn, you can attract talent, build your credibility, and promote your business. In this course, join LinkedIn expert Viveka von Rosen as she demonstrates how to build an effective and consistent company brand on LinkedIn. Viveka shows how to build a strong page, tell your story, share your culture, and turn employees into brand advocates that can help spread your message. Plus, learn best practices for driving engagement and creating content that amplifies your brand on LinkedIn.",Course,2020-12-09 02:28 UTC,N/A,false,N/A,
Cómo conseguir que aprueben tus ideas,"Si no sabes por dónde empezar, proponer una buena idea puede ser un proyecto abrumador. No siempre es suficiente con recopilar información y presentar los hechos. 
El consultor de liderazgo Mike Figliuolo te ayudará a transformar las ideas que se te ocurren en propuestas convincentes. 
Este método de comunicación y pensamiento estructurado está diseñado de manera que puedas exponer la utilidad de tu idea y sea coherente con las necesidades de las partes involucradas. 
A medida que vayas descubriendo este método, aprenderás a desarrollar la arquitectura de tu idea, crear una historia que recalca sus beneficios e identificar los datos que corroboran su validez. 
Al final del curso, estarás preparado para definir, probar y comunicar tu idea, para conseguir el apoyo que buscas.",Course,2019-01-25 19:06 UTC,N/A,false,N/A,
Grammar Girl’s Quick and Dirty Tips for Better Writing,"With easy-to-understand examples, Grammar Girl Mignon Fogarty shares ways you can instantly make your writing better, including using active voice, writing with rhythm, and using commas like a pro. She also dispels a few common grammar myths, gives pointers for breaking up run-on sentences, and much more. Watch just one video or the whole series of these quick tip videos any time you want to improve your writing skills.",Course,2021-10-15 10:53 UTC,N/A,false,N/A,
Systems Thinking,"The situations and events that we deal with in our daily personal and work lives are complex, yet our thinking is often biased and simplistic. By adopting new ways of thinking that are more in tune with our adaptive, nonlinear world, we can achieve increased effectiveness and success in nearly all domains. In this course, learn the basic tenets of systems thinking, a more sophisticated way of looking at problems and organizing your thoughts. Instructor Derek Cabrera—a Cornell University professor specializing in systems thinking—lays out what systems thinking is, why it’s valuable, and how to do it. Learn all about the power of mapping in systems thinking and get examples of its real-life applications. Plus, learn how systems thinking can even help you boost your emotional intelligence.",Course,2021-10-23 20:10 UTC,N/A,false,N/A,
Excel: Tips and Tricks,"Want to take your Excel game to the next level? In this course, veteran Excel trainer and instructor Dennis Taylor shares powerful tips, tricks, and shortcuts that can help you leverage more of what Excel has to offer. Learn time-saving tricks for creating formulas rapidly, accelerating data entry, and navigating within worksheets efficiently. Plus, discover drag and drop techniques, formatting shortcuts, charting and PivotTable tips, and much more.</br></br>

Note: This course was recorded on Excel for Office 365; however, most of the contents will benefit anyone using Office 2019 or 2016.",Course,2020-04-13 03:52 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2020-12-22 02:13 UTC,N/A,false,N/A,
Stepping Up Your Webcam Video Presence,"Nearly everyone has a webcam, but many people don’t put the effort into enhancing their webcam video presence. But with just a few relatively easy and inexpensive tweaks, you can capture well-composed, well-lit shots with great audio using the humble webcam. In this course, senior staff instructor Ashley Kennedy shows you how to represent your best self in meetings, as well as presentations, trainings, vlogs, interviews, demos, Q&As, and other types of web videos. Learn basic strategies for optimizing your system and your webcam, staging and lighting your shot, capturing high-quality audio, scripting and rehearsing for big-stakes webcam presentations, and more.",Course,2021-03-09 03:40 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-01-03 05:21 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2806721,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2806721,Course,2019-11-01 10:20 UTC,N/A,false,N/A,
Performance-Based Hiring,"Top performers aren't looking for just another job; they want challenges and growth. To get the best people, you need to attract them differently, which means your hiring process—your sourcing, interviewing, and recruiting—needs to change, and even how you write your job descriptions. In this course, Lou Adler, CEO and founder of the Adler Group, explains performance-based hiring, an end-to-end, four-step process for hiring top talent. Lou outlines the steps to help you expand your talent pool (sourcing), create job descriptions that deliver the highest quality applicants (screening), interview so you uncover what really leads to performance (interviewing), and make the best hiring decisions (recruiting).",Course,2021-02-06 12:03 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-10-07 01:06 UTC,N/A,false,N/A,
SketchUp for Architecture: LayOut (2015),"Join Paul J. Smith in this course and learn how to link your SketchUp model to LayOut and generate professional looking plans, views, and elevations. This course, focusing on the advanced features in SketchUp Pro, starts with a complete SketchUp model and looks at how scenes, styles, and active section planes enable you to control your 3D model in LayOut. Paul will show how scenes, styles, and section cuts work together to generate the 3D and 2D information you need to produce a set of working drawings. Then learn to dimension and annotate with LayOut's powerful yet simple tool and call on the power of the scrapbook to add entourage, images, and symbols in your drawings.  Paul will also explain the way LayOut and SketchUp link together, where to store your templates and scrapbook elements, and how to avoid missing references. It's a comprehensive course covering all the steps required to leverage the 2D from the 3D.",Course,2019-02-08 19:17 UTC,N/A,false,N/A,
Reid Hoffman and Chris Yeh on Blitzscaling,"Blitzscaling is a growth strategy that prioritizes speed over efficiency in the face of uncertainty. Those bold enough to adopt it must break free from the confines of business school logic to take uncalculated risks that could just as easily lead to abject failure as rapid-fire growth. In this course, LinkedIn founder Reid Hoffman and entrepreneur Chris Yeh break down when and how entrepreneurs and other business leaders should leverage this tactic to get ahead. Reid and Chris—who literally wrote the book on this topic in 2018's <i>Blitzscaling</i>— explain how, despite the potential pitfalls, blitzscaling practices are often the key to scaling massive companies. They share examples of successful blitzscaling, explain how to blitzscale within a larger organization, and more.",Course,2020-01-13 19:59 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2020-12-29 15:10 UTC,N/A,false,N/A,
"Learn Emotional Intelligence, the Key Determiner of Success","Explore the four domains of emotional intelligence—self-awareness, self-management, social awareness, and relationship management—as defined by psychologist and author Daniel Goleman. The domains build on one another, starting with a greater awareness of self and others, and ending with the management of relationships that are critical to your personal and professional life. Learn how to become more mindful of your strengths, limitations, and the values that define them; explore ways to create space between yourself, your thoughts, and your emotions; develop awareness of how people see the world differently based on individual preferences, as well as social and environmental factors; and use awareness of self and others to work toward collaboration, innovation, and mutually beneficial relationships.<br><br>

This course includes videos from:<br>
<b>Daniel Goleman</b>, psychologist, lecturer, and science journalist<br>
<b>Amy Cuddy</b>, social psychologist and associate professor at Harvard Business School<br>
<b>Susan David</b>, psychologist at Harvard Medical School and cofounder of the Institute of Coaching<br>
<b>Alan Alda</b>, Emmy-winning actor, writer, and director<br>
<b>Angie McArthur</b>, CEO of Professional Thinking Partners<br><br>

Note: This course was produced by <a href=”https://edge.bigthink.com/users/sign_up” target=”_blank”>Big Think</a>. We are pleased to host this content in our library.",Course,2021-02-15 22:10 UTC,N/A,false,N/A,
Instructional Design: Needs Analysis,"Need to understand the training requirements of your learners? A needs analysis is the first step of any ADDIE-aligned instructional design process. Join Jeff Toister in this installment of <em>Instructional Design Essentials</em> and learn the three-step process to conducting a needs analysis that will accurately capture and define the goals of your project. Jeff brings his 20+ years of instructional design experience to bear, and helps you set clear goals with project sponsors, gather data from participants quickly, and analyze the data to identify gaps in your current system and goals for your future one.",Course,2019-04-10 16:23 UTC,N/A,false,N/A,
Camtasia 8: Creating Instructional Videos,"Whether you're a first-grade teacher or college professor, video can open a whole new range of possibilities for your classroom. Camtasia is the go-to tool for educators, offering a wide range of features for recording, editing, and sharing video. And it's not just for screencapture; you can create webcam and mobile videos, too. Ready to get started? In this course, Corbin Anderson helps you use Camtasia 8 to create engaging, high-quality instructional videos for a flipped classroom, online instruction, or blended learning. Learn how to set up Camtasia, record a simple video, and go mobile with the companion app Fuse. Once you've mastered the basics, you can add learning supports such as multimedia, notes, embedded quizzes, and announcements. Along the way, Corbin discusses teacher best practices and tips for flipping your classroom.",Course,2019-01-21 18:16 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2019-12-11 22:51 UTC,N/A,false,N/A,
"Developing a Diversity, Inclusion, and Belonging Program","Diversity, inclusion, and belonging (DIBs) isn’t just a buzzword. DIBs programs can have real impact on employees’ productivity and welfare. Think about the best group you ever belonged to—where you felt like everyone cared about you, understood you, and valued you as a part of the group. That is the kind of environment that promotes sharing, innovation, and growth. This courses shows HR leaders how to develop a DIBs strategy that builds diverse, inclusive environments where everyone feels like they belong. Dr. Stefanie K. Johnson explains how to create a strategy for your organization and start integrating DIBs into core HR activities, such as recruitment, training, performance evaluations, and promotions. Plus, learn how to get buy-in and evaluate the ongoing success of your program.",Course,2020-05-20 01:41 UTC,N/A,false,N/A,
Financial Modeling and Forecasting Financial Statements,"Financial reports are not just summaries of the past—they also include predictions for the future. In fact, most financial institutions are more interested in future performance than historical trends. Banks want to know your future cash flow; investors want to know future profits. In this course, Jim and Kay Stice explains how to create forecasted financial statements for your company. Learn how to use past data such as cost of goods sold, depreciation expenses, and levels of inventory, and understand what caused those numbers to fluctuate over time. Then you can learn how to use the information as the basis for forecasting, applying a simple but powerful equation: assets = liability + equity. You get hands-on practice building three different documents: a forecasted income statement, a forecasted balance sheet, and a forecasted statement of cash flow. Throughout the course, Jim and Kay use famous business cases—like Home Depot’s 1985 cash-flow crisis—to illustrate the importance of accurate financial forecasts and their impact on business decisions.",Course,2021-05-21 18:57 UTC,N/A,false,N/A,
