Event Name,Event Time,Status,External Url
Feb 22: California Investor Club,"Feb 22, 2022 08:00 PM - Feb 22, 2022 10:00 PM",ATTENDING,https://www.eventbrite.com/e/california-investor-club-tickets-163928262847
Impact Entrepreneur Magazine Launches! Call for Submissions,"Sep 20, 2021 04:00 PM - Sep 20, 2021 05:00 PM",ATTENDING,https://impactalchemist.com/impact-entrepreneur-magazine
Oxford Economics of Mutuality Virtual Forum 2021,"Nov 30, 2021 03:00 PM - Dec 02, 2021 06:00 PM",NOT_ATTENDING,https://hopin.com/events/oxford-economics-of-mutuality-virtual-forum-2021
Why The $50 Billion Osmium Opportunity Is For You: The US Market is Open! ,"Jun 15, 2021 08:00 PM - Jun 15, 2021 09:00 PM",NOT_ATTENDING,
Dec 2: Corporate Climate Equity Net Impact Case Competition,"Dec 02, 2021 06:00 PM - Dec 02, 2021 07:00 PM",ATTENDING,
The Power of Untaxable Wealth Webinar,"Aug 03, 2021 03:00 PM - Aug 03, 2021 04:00 PM",NOT_ATTENDING,
Carbon Removal: Cultiv8’s Virtual Power Plant Carbon Removal Services,"Oct 28, 2021 03:00 PM - Oct 28, 2021 04:00 PM",NOT_ATTENDING,
Oct 21: Corporate Climate Equity Net Impact Case Competition,"Oct 21, 2021 05:00 PM - Oct 21, 2021 06:00 PM",ATTENDING,
Feb 16: Indigenous Communities Investor Club,"Feb 16, 2022 06:30 PM - Feb 16, 2022 08:30 PM",ATTENDING,
Scaling Climate Solutions Cross-Border (1hr session),"Oct 07, 2021 08:00 AM - Oct 07, 2021 04:00 PM",NOT_ATTENDING,www.drashtaimpact.com/scaling-climate-solutions-cross-border
Aug 18 Sustainable Forestry Investor Club,"Aug 18, 2021 05:30 PM - Aug 18, 2021 07:30 PM",ATTENDING,https://www.eventbrite.com/e/158627640543
Philly Forward: Real Estate as Portal to Change,"Apr 22, 2021 01:00 PM - Apr 22, 2021 10:00 PM",ATTENDING,https://hopin.com/events/philly-forward-investment-symposium
World Enlightenment 2021 Dec 24th Quantum Leap Event,"Dec 24, 2021 10:00 PM - Dec 24, 2021 11:00 PM",NOT_ATTENDING,worldenlightenment2021.org
Intelligent Digital Assets Investing for RIAs,"Nov 16, 2021 04:00 PM - Nov 16, 2021 05:00 PM",NOT_ATTENDING,https://TwoPrime.webinarninja.com/live-webinars/8907125/register
ESG Data Challenges and the Perils of Greenwashing,"Jul 14, 2021 02:00 PM - Jul 14, 2021 04:30 PM",NOT_ATTENDING,https://my.demio.com/ref/Z7EWlYwiUo9wMDCc
Forecast - The Pulse of What's Next in the US Economy,"Oct 20, 2021 07:00 PM - Oct 20, 2021 08:00 PM",NOT_ATTENDING,
WEALTH WITH OSMIUM LAUNCH PARTY: Billions to be made. Let's talk. ,"Jun 29, 2021 08:00 PM - Jun 29, 2021 09:00 PM",NOT_ATTENDING,
"Investment Opportunities in Precious, Strategic and Technology Metals","Aug 17, 2021 06:30 PM - Aug 17, 2021 07:30 PM",NOT_ATTENDING,
An Institutional Guide to DeFi Stablecoin Staking for Yield,"Sep 08, 2021 03:00 PM - Sep 08, 2021 04:00 PM",NOT_ATTENDING,https://TwoPrime.webinarninja.com/live-webinars/6115462/register
WaterWorks: Online Investing in the Water Sector,"Aug 03, 2021 05:00 PM - Aug 03, 2021 05:30 PM",NOT_ATTENDING,https://us06web.zoom.us/webinar/register/WN_Wsakc5rKS36pJ4Bh3GrBsg?dlv-emuid=2f93513a-4187-487d-b93a-ea652e55647d&dlv-mlid=3071932
"Ready To Bounce Back? For Growth, Money & Business On Your Terms","Apr 11, 2021 07:00 PM - Apr 11, 2021 10:00 PM",NOT_ATTENDING,
LUXURY LAWS ,"Sep 16, 2021 02:00 PM - Sep 17, 2021 05:00 PM",NOT_ATTENDING,https://kathleencameronofficial.com/luxury-laws/
Supercharge Your Job Search,"Sep 30, 2021 07:00 PM - Sep 30, 2021 08:00 PM",NOT_ATTENDING,https://silverbranchconsulting.easywebinar.live/career-cape-registration
Tax Strategies for Business Transactions,"Jun 22, 2021 04:00 PM - Jun 22, 2021 05:00 PM",NOT_ATTENDING,https://www.cbiz.com/webinars/2021-tax-planning-opportunities-in-m-a#DownloadForm
Effective Ways To Add More Clients To Your Business Coaching Program,"Nov 23, 2021 03:00 PM - Nov 23, 2021 04:30 PM",NOT_ATTENDING,https://us02web.zoom.us/j/86965598057?pwd=VG5yWlVCYXpNUFJpcEdZRUtYV0xqdz09
May 18: Sustainable Forestry Investor Club,"May 18, 2022 05:30 PM - May 18, 2022 07:30 PM",ATTENDING,
The 10 Million Dollar Playbook - How to Scale Any Company Past $10M,"Dec 08, 2021 11:00 PM - Dec 09, 2021 12:00 AM",NOT_ATTENDING,https://bit.ly/Boardroom_9Dec
🔥CRE PRO Course LinkedIn Live Pre-Launch Event🔥,"Mar 14, 2021 05:00 PM - Mar 14, 2021 06:00 PM",NOT_ATTENDING,
Up-skill your AGILE mindset,"May 24, 2021 03:00 PM - May 28, 2021 11:30 AM",NOT_ATTENDING,http://bit.ly/upskill_agile_mindset
Women Making News LIVE - October Broadcast with Michelle Penczak,"Oct 20, 2021 04:00 PM - Oct 20, 2021 04:30 PM",NOT_ATTENDING,
AYO Scaling Africa Series Demo Day,"Jul 28, 2021 04:00 PM - Jul 28, 2021 06:00 PM",NOT_ATTENDING,app.glueup.com/event/ayo-scaling-africa-series-demo-day-39704
How Philanthropy and Investing are connected by Impact Investing,"Aug 26, 2021 01:00 AM - Aug 26, 2021 02:30 AM",ATTENDING,https://www.eventbrite.com/e/167730930729/
Oct 13: Diverse Manager Webinar,"Oct 13, 2021 05:00 PM - Oct 13, 2021 06:00 PM",ATTENDING,
Sep 28: California Investor Club,"Sep 28, 2021 07:30 PM - Sep 28, 2021 09:30 PM",ATTENDING,
Ocean tech,"Apr 26, 2021 02:30 PM - Apr 26, 2021 04:30 PM",NOT_ATTENDING,
World Environment Day- 'Restoring the Ecosystem' powered by SustainOnline,"Jun 05, 2021 03:00 PM - Jun 05, 2021 04:30 PM",NOT_ATTENDING,
Feb 17: Corporate Climate Equity Net Impact Case Competition,"Feb 17, 2022 06:00 PM - Feb 17, 2022 07:00 PM",ATTENDING,
Nov 16: Sustainable Forestry Investor Club,"Nov 16, 2022 06:30 PM - Nov 16, 2022 08:30 PM",ATTENDING,
Email Mastery Bootcamp,"Dec 08, 2021 03:00 PM - Dec 09, 2021 06:00 PM",NOT_ATTENDING,www.EmailMasteryBootcamp.co
DeFi Retreat 2022,"May 03, 2022 07:00 PM - May 04, 2022 04:00 AM",NOT_ATTENDING,https://fintechretreat.com/index.php/defi#register
Activate Potential: Work-Life Balance is a Myth,"May 13, 2021 05:00 PM - May 13, 2021 05:30 PM",NOT_ATTENDING,https://register.gotowebinar.com/register/4701495641722190863
Women Are Not A Niche Market: Investing in FemTech and Women's Health,"Jul 15, 2021 04:00 PM - Jul 15, 2021 05:00 PM",NOT_ATTENDING,
Transformative Entrepreneurship Conference,"Jul 15, 2021 03:00 PM - Jul 15, 2021 05:00 PM",NOT_ATTENDING,https://us02web.zoom.us/j/81658113838?pwd=dnVvRDNaMlVmdnkvUUU0Znl3K2lZZz09
Global Happiness Summit,"Mar 19, 2021 11:11 PM - Mar 20, 2021 11:59 PM",NOT_ATTENDING,
"SPACs are Dead, Long Live Crossover Fund","Oct 06, 2021 08:00 AM - Oct 06, 2021 09:00 AM",NOT_ATTENDING,https://campaign.lynk.global/lss-october-2021spacs-are-dead-long-live-the-crossover-fund?utm_campaign=LSS%20October%202021%20-%20SPACs&utm_source=linkevent
July 21 California Investor Club,"Jul 21, 2021 04:00 PM - Jul 21, 2021 06:00 PM",ATTENDING,
Full Spectrum Capital Partners Webinar Series,"Jul 07, 2021 05:00 PM - Jul 07, 2021 06:00 PM",ATTENDING,https://www.eventbrite.com/e/138508068361
WHY THE OSMIUM MARKET IS FOR YOU! THE OSMIUM MARKET IN THE US IS OPEN. ,"Jun 22, 2021 08:00 PM - Jun 22, 2021 09:00 PM",NOT_ATTENDING,
Decoupling Investment Risk from Impact,"Sep 16, 2021 02:30 PM - Sep 16, 2021 03:30 PM",NOT_ATTENDING,https://www.drashtaimpact.com/webinar-accelerating-water-solutions
Workforce 100 Kickoff,"Nov 17, 2021 01:00 PM - Nov 17, 2021 02:00 PM",NOT_ATTENDING,https://pitt.zoom.us/webinar/register/WN_A4GCs7VrQ6KyxmiOcvX9nw
"Swarthmore Friends of Phil Fundraiser: June 23, 8 pm ET/ 6 pm MT","Jun 24, 2021 12:00 AM - Jun 24, 2021 01:00 AM",ATTENDING,https://secure.actblue.com/donate/6.23.21swarth_philforco
Systems Thinking: The Skill to Develop to Make a Difference in the World,"Oct 27, 2021 03:00 PM - Oct 27, 2021 03:30 PM",ATTENDING,
AEC HACKATHON @ BLOXHUB 2021,"Oct 29, 2021 03:00 PM - Oct 31, 2021 05:00 PM",ATTENDING,
Jan 20: Corporate Climate Equity Net Impact Case Competition,"Jan 20, 2022 06:00 PM - Jan 20, 2022 07:00 PM",ATTENDING,
Nov 4: Corporate Climate Equity Net Impact Case Competition,"Nov 04, 2021 05:00 PM - Nov 04, 2021 06:00 PM",ATTENDING,
How to optimize your Theory of Change?,"Oct 26, 2021 04:00 PM - Oct 26, 2021 05:00 PM",NOT_ATTENDING,
Workshop on Personal Finance for Changemakers,"Sep 19, 2021 12:00 PM - Sep 19, 2021 02:30 PM",NOT_ATTENDING,https://pcdn.global/workshop-on-personal-finance-for-social-change/
"INVESTMENT IN PRECIOUS, STRATEGIC AND TECHNOLOGY METALS ","Aug 10, 2021 06:30 PM - Aug 10, 2021 07:30 PM",NOT_ATTENDING,
Hidden Gems of GDMK,"Nov 17, 2021 04:00 PM - Nov 17, 2021 05:00 PM",NOT_ATTENDING,
Sep 21: Sustainable Forestry Investor Club,"Sep 21, 2022 05:30 PM - Sep 21, 2022 07:30 PM",ATTENDING,
Extraordinary Women Ignite Conference,"Nov 11, 2021 04:00 PM - Nov 13, 2021 08:30 AM",ATTENDING,https://kami-guildner.mykajabi.com/extraordinary-women-ignite-2021
How to Live Your Life on FIRE Master Class,"Nov 11, 2021 06:00 PM - Nov 11, 2021 09:00 PM",NOT_ATTENDING,https://www.thecoachanaireinstitute.com/mws
Breadfruit Revolution Update | Part 2,"Jul 23, 2021 01:00 AM - Jul 23, 2021 01:45 AM",NOT_ATTENDING,
Personal Finance for Generous People,"May 26, 2021 08:00 PM - May 26, 2021 09:00 PM",NOT_ATTENDING,https://us02web.zoom.us/meeting/register/tZYkcOyhqz4iGtTu1OOo7eQnLuBYJEYxyc_A
Oct 12: Indigenous Communities Investor Club 2021,"Oct 12, 2021 05:30 PM - Oct 12, 2021 07:30 PM",ATTENDING,https://www.eventbrite.com/e/indigenous-communities-investor-club-2021-tickets-125515868341
A Derivatives Trader's Guide to Crypto,"Jul 27, 2021 03:00 PM - Jul 27, 2021 04:00 PM",NOT_ATTENDING,bit.ly/3wu0ced
Be Your Own Boss ,"Jul 08, 2021 03:00 PM - Jul 08, 2021 05:00 PM",NOT_ATTENDING,https://us02web.zoom.us/j/82647783907?pwd=Q0Y2d0pOclloMkVIQ2Mwdm5GbzVJZz09
Marketing Reset for Coaches and Consultants,"Jul 28, 2021 02:00 PM - Jul 28, 2021 03:00 PM",NOT_ATTENDING,https://aditijn.ck.page/resetmasterclass
RESPONDAYS 2021,"Oct 13, 2021 03:30 PM - Oct 14, 2021 06:00 PM",NOT_ATTENDING,https://respond-accelerator.com/events/respondays-2021/
How Collective Giving Empowers Women ,"Dec 07, 2021 05:00 PM - Dec 07, 2021 05:30 PM",NOT_ATTENDING,
How To Build A 5 Figure/Mo Specialty Coaching Biz In 90 Days Using LinkedIn,"Aug 19, 2021 06:00 PM - Aug 19, 2021 07:30 PM",NOT_ATTENDING,
Advanced Money strategies To Protect your Client’s Wealth,"Sep 28, 2021 03:00 PM - Sep 28, 2021 04:00 PM",NOT_ATTENDING,
One-on-One Meeting with an Eagle Point Funding Representative in Denver,"Nov 15, 2021 03:00 PM - Nov 16, 2021 03:00 AM",NOT_ATTENDING,
The $50 Billion Osmium Opportunity: Osmium is available for the US market. ,"Jun 01, 2021 08:00 PM - Jun 01, 2021 09:00 PM",NOT_ATTENDING,
Jan 19: Sustainable Forestry Investor Club,"Jan 19, 2022 06:30 PM - Jan 19, 2022 08:30 PM",ATTENDING,
A New Frontier for Policy & Investment: A Development Bank for the USA,"Sep 08, 2021 03:00 PM - Sep 08, 2021 04:00 PM",ATTENDING,https://www.futurenex.us/webinar-sep8/
Oct 28: Corporate Climate Equity Net Impact Case Competition,"Oct 28, 2021 05:00 PM - Oct 28, 2021 06:00 PM",ATTENDING,
Nov 03: National Women's Impact Investing Landscape Scan Webinar,"Nov 03, 2021 05:00 PM - Nov 03, 2021 06:00 PM",ATTENDING,
New Marketing Method,"Oct 20, 2021 05:00 PM - Oct 21, 2021 08:00 PM",NOT_ATTENDING,newmarketingmethod.com/li
Red Awards ,"Nov 18, 2021 11:00 PM - Nov 19, 2021 03:00 AM",NOT_ATTENDING,www.redawards.nyc
$10M Growth Hacking Mastermind 3.0: Experienced Coaches Only,"Aug 06, 2021 07:00 PM - Aug 06, 2021 08:00 PM",NOT_ATTENDING,
Intelligent Vehicle Briefs Webinar,"Nov 10, 2021 05:00 PM - Nov 10, 2021 06:00 PM",NOT_ATTENDING,https://us02web.zoom.us/j/5965454465?pwd=SmNwVmpNSHZEcGlLeWdMTXlQeFBuUT09
Business Success Conference,"Oct 27, 2021 03:00 PM - Oct 27, 2021 05:00 PM",NOT_ATTENDING,https://us02web.zoom.us/j/88690468072?pwd=NG83a2lpdW5VQStXWm5rNi85T3Fydz09
Critical Minerals and Metals Mastermind ,"Sep 16, 2021 12:00 AM - Sep 16, 2021 02:00 AM",NOT_ATTENDING,
